Site,Planting,Latitude,Longitude,Genetics
casselton_nd,1989-05-21,46.8973,-97.2124,0
casselton_nd,1989-05-21,46.8973,-97.2124,0
casselton_nd,1991-05-21,46.8973,-97.2124,0
casselton_nd,1991-05-21,46.8973,-97.2124,0
watertown_sd,1992-05-24,44.9096,-97.1539,0
watertown_sd,1992-05-24,44.9096,-97.1539,1
casselton_nd,1992-05-20,46.8973,-97.2124,0
casselton_nd,1992-05-20,46.8973,-97.2124,0
watertown_sd,1993-05-25,44.9096,-97.1539,0
watertown_sd,1993-05-25,44.9096,-97.1539,1
casselton_nd,1993-05-21,46.8973,-97.2124,0
casselton_nd,1993-05-21,46.8973,-97.2124,0
watertown_sd,1994-05-25,44.9096,-97.1539,0
watertown_sd,1994-05-25,44.9096,-97.1539,1
casselton_nd,1994-05-21,46.8973,-97.2124,0
casselton_nd,1994-05-21,46.8973,-97.2124,0
watertown_sd,1995-05-25,44.9096,-97.1539,0
watertown_sd,1995-05-25,44.9096,-97.1539,1
casselton_nd,1995-05-21,46.8973,-97.2124,0
casselton_nd,1995-05-21,46.8973,-97.2124,0
watertown_sd,1996-05-24,44.9096,-97.1539,0
watertown_sd,1996-05-24,44.9096,-97.1539,1
casselton_nd,1996-05-20,46.8973,-97.2124,0
casselton_nd,1996-05-20,46.8973,-97.2124,0
watertown_sd,1997-05-25,44.9096,-97.1539,0
watertown_sd,1997-05-25,44.9096,-97.1539,1
casselton_nd,1997-05-20,46.8973,-97.2124,0
casselton_nd,1997-05-20,46.8973,-97.2124,0
watertown_sd,1998-05-25,44.9096,-97.1539,0
watertown_sd,1998-05-25,44.9096,-97.1539,1
casselton_nd,1998-05-20,46.8973,-97.2124,0
casselton_nd,1998-05-20,46.8973,-97.2124,0
watertown_sd,1999-05-25,44.9096,-97.1539,0
watertown_sd,1999-05-25,44.9096,-97.1539,1
casselton_nd,1999-05-20,46.8973,-97.2124,0
casselton_nd,1999-05-20,46.8973,-97.2124,0
watertown_sd,2000-05-24,44.9096,-97.1539,0
watertown_sd,2000-05-24,44.9096,-97.1539,1
casselton_nd,2000-05-19,46.8973,-97.2124,0
casselton_nd,2000-05-19,46.8973,-97.2124,0
casselton_nd,2001-05-20,46.8973,-97.2124,0
casselton_nd,2001-05-20,46.8973,-97.2124,0
watertown_sd,2001-05-25,44.9096,-97.1539,0
watertown_sd,2001-05-25,44.9096,-97.1539,1
watertown_sd,2002-05-25,44.9096,-97.1539,0
watertown_sd,2002-05-25,44.9096,-97.1539,1
casselton_nd,2002-05-20,46.8973,-97.2124,0
casselton_nd,2002-05-20,46.8973,-97.2124,0
northwood_nd,2002-05-17,47.7389,-97.5708,0
northwood_nd,2002-05-17,47.7389,-97.5708,0
watertown_sd,2003-05-25,44.9096,-97.1539,0
watertown_sd,2003-05-25,44.9096,-97.1539,1
casselton_nd,2003-05-20,46.8973,-97.2124,0
casselton_nd,2003-05-20,46.8973,-97.2124,0
casselton_nd,2004-05-19,46.8973,-97.2124,0
casselton_nd,2004-05-19,46.8973,-97.2124,0
watertown_sd,2004-05-24,44.9096,-97.1539,0
watertown_sd,2004-05-24,44.9096,-97.1539,1
northwood_nd,2004-05-16,47.7389,-97.5708,0
northwood_nd,2004-05-16,47.7389,-97.5708,0
casselton_nd,2005-05-20,46.8973,-97.2124,0
casselton_nd,2005-05-20,46.8973,-97.2124,0
northwood_nd,2005-05-17,47.7389,-97.5708,0
northwood_nd,2005-05-17,47.7389,-97.5708,0
watertown_sd,2005-05-25,44.9096,-97.1539,0
watertown_sd,2005-05-25,44.9096,-97.1539,1
volga_sd,2005-05-25,44.3239,-96.9225,0
volga_sd,2005-05-25,44.3239,-96.9225,2
volga_sd,2005-05-25,44.3239,-96.9225,1
casselton_nd,2006-05-20,46.8973,-97.2124,0
casselton_nd,2006-05-20,46.8973,-97.2124,0
watertown_sd,2006-05-25,44.9096,-97.1539,0
watertown_sd,2006-05-25,44.9096,-97.1539,1
casselton_nd,2007-05-20,46.8973,-97.2124,0
casselton_nd,2007-05-20,46.8973,-97.2124,0
watertown_sd,2007-05-25,44.9096,-97.1539,0
watertown_sd,2007-05-25,44.9096,-97.1539,1
casselton_nd,2008-05-19,46.8973,-97.2124,0
casselton_nd,2008-05-19,46.8973,-97.2124,0
northwood_nd,2008-05-16,47.7389,-97.5708,0
northwood_nd,2008-05-16,47.7389,-97.5708,0
watertown_sd,2008-05-23,44.9096,-97.1539,0
watertown_sd,2008-05-23,44.9096,-97.1539,1
casselton_nd,2009-05-20,46.8973,-97.2124,0
casselton_nd,2009-05-20,46.8973,-97.2124,0
northwood_nd,2009-05-17,47.7389,-97.5708,0
northwood_nd,2009-05-17,47.7389,-97.5708,0
watertown_sd,2010-05-24,44.9096,-97.1539,0
watertown_sd,2010-05-24,44.9096,-97.1539,1
casselton_nd,2010-05-20,46.8973,-97.2124,0
casselton_nd,2010-05-20,46.8973,-97.2124,0
northwood_nd,2010-05-17,47.7389,-97.5708,0
northwood_nd,2010-05-17,47.7389,-97.5708,0
volga_sd,2011-05-25,44.3239,-96.9225,0
volga_sd,2011-05-25,44.3239,-96.9225,2
volga_sd,2011-05-25,44.3239,-96.9225,1
watertown_sd,2011-05-24,44.9096,-97.1539,0
watertown_sd,2011-05-24,44.9096,-97.1539,1
northwood_nd,2011-05-16,47.7389,-97.5708,0
northwood_nd,2011-05-16,47.7389,-97.5708,0
volga_sd,2012-05-24,44.3239,-96.9225,0
volga_sd,2012-05-24,44.3239,-96.9225,2
volga_sd,2012-05-24,44.3239,-96.9225,1
watertown_sd,2012-05-23,44.9096,-97.1539,0
watertown_sd,2012-05-23,44.9096,-97.1539,1
casselton_nd,2012-05-18,46.8973,-97.2124,0
casselton_nd,2012-05-18,46.8973,-97.2124,0
northwood_nd,2012-05-15,47.7389,-97.5708,0
northwood_nd,2012-05-15,47.7389,-97.5708,0
volga_sd,2013-05-25,44.3239,-96.9225,0
volga_sd,2013-05-25,44.3239,-96.9225,2
volga_sd,2013-05-25,44.3239,-96.9225,1
watertown_sd,2013-05-24,44.9096,-97.1539,0
watertown_sd,2013-05-24,44.9096,-97.1539,1
casselton_nd,2013-05-19,46.8973,-97.2124,0
casselton_nd,2013-05-19,46.8973,-97.2124,0
northwood_nd,2013-05-16,47.7389,-97.5708,0
northwood_nd,2013-05-16,47.7389,-97.5708,0
casselton_nd,2014-05-19,46.8973,-97.2124,0
casselton_nd,2014-05-19,46.8973,-97.2124,0
northwood_nd,2014-05-16,47.7389,-97.5708,0
northwood_nd,2014-05-16,47.7389,-97.5708,0
casselton_nd,2015-05-19,46.8973,-97.2124,0
casselton_nd,2015-05-19,46.8973,-97.2124,0
northwood_nd,2015-05-16,47.7389,-97.5708,0
northwood_nd,2015-05-16,47.7389,-97.5708,0
casselton_nd,2016-05-05,46.8973,-97.2124,0
casselton_nd,2016-05-05,46.8973,-97.2124,0
northwood_nd,2016-05-06,47.7389,-97.5708,0
northwood_nd,2016-05-06,47.7389,-97.5708,0
casselton_nd,2016-05-06,46.8973,-97.2124,0
casselton_nd,2016-05-06,46.8973,-97.2124,0
casselton_nd,2017-05-05,46.8973,-97.2124,0
casselton_nd,2017-05-05,46.8973,-97.2124,0
casselton_nd,2018-05-07,46.8973,-97.2124,0
casselton_nd,2018-05-07,46.8973,-97.2124,0
casselton_nd,2018-05-19,46.8973,-97.2124,0
casselton_nd,2018-05-19,46.8973,-97.2124,0
casselton_nd,2019-05-17,46.8973,-97.2124,0
casselton_nd,2019-05-17,46.8973,-97.2124,0
