Site,Planting,Y,X,Crop,Genetics,id_loc,id_trial,Year,Mat,Yield_Sim,Rain_0,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Radn_0,Radn_1,Radn_2,Radn_3,Radn_4,Radn_5,Radn_6,MaxT_0,MaxT_1,MaxT_2,MaxT_3,MaxT_4,MaxT_5,MaxT_6,MinT_0,MinT_1,MinT_2,MinT_3,MinT_4,MinT_5,MinT_6,NutrientStress_0,NutrientStress_1,NutrientStress_2,NutrientStress_3,NutrientStress_4,NutrientStress_5,NutrientStress_6,TempStress_0,TempStress_1,TempStress_2,TempStress_3,TempStress_4,TempStress_5,TempStress_6,WaterStress_0,WaterStress_1,WaterStress_2,WaterStress_3,WaterStress_4,WaterStress_5,WaterStress_6,Start_DOY_0,Start_DOY_1,Start_DOY_2,Start_DOY_3,Start_DOY_4,Start_DOY_5,Start_DOY_6
casselton_nd,1989-05-21,46.8973,-97.2124,soybean,0,1,1,1989,B_80,4751.664621448588,0.7892142866339003,1.9830769575559175,1.5654839084994407,2.3615384652064395,3.2384374290704727,1.543000030517578,0.44362832619025644,13.426358219555446,21.273706362797665,22.677017334968813,20.74613226377047,17.751130416989326,14.775399303436279,7.796088353722497,2.189999970634069,21.91269240012536,29.949354910081432,31.16461548438439,28.865000069141388,23.32599983215332,6.260177021137381,-10.245500031193453,7.821538439163795,14.906774320910054,15.935384750366211,13.972187504172325,10.703999948501586,-7.456548701740999,0.3,0.7038461538461538,1,1,0.9999999999999999,1,0.3,0.1988571427886051,0.9690109917095729,1,1,1,1,0.29526864487663684,1,1,1,1,1,1,1,1,141,167,198,211,243,253
casselton_nd,1991-05-21,46.8973,-97.2124,soybean,0,1,2,1991,B_80,4602.039241997166,1.081928574826036,3.2888888915379844,3.9622857213020324,2.1986666361490887,1.5823333501815795,3.291428702218192,0.796500005821387,12.755375567504338,19.745238886939156,20.041990961347306,22.766933949788413,19.269802824656168,16.879895755222865,7.825011666615804,5.564857113374663,26.31555567847358,26.80285699026925,28.746666844685873,29.2306666692098,32.82285690307617,7.238749992288649,-7.107785718515515,14.2255556318495,14.9242858341762,14.786666679382323,14.110333188374836,16.135714394705637,-4.307083351630718,0.3,0.7277777777777777,0.9999999999999999,0.9999999999999998,0.9999999999999998,1,0.3,0.20623469417534615,1,1,1,1,1,0.29206250106827136,1,1,1,1,1,1,1,1,141,159,194,209,239,246
watertown_sd,1992-05-24,44.9096,-97.1539,soybean,0,2,3,1992,B_80,1602.3527736785252,0.6715972235219346,2.9956521780594536,5.827446881760943,0.9082353044958675,1.8973469387511817,0.7448837285818056,NA,13.98687873284022,21.85293732518735,19.819272213793816,21.380486207849838,15.043990251969317,5.969682391299758,NA,7.806666660614105,22.134347791257113,22.422553163893678,24.477646995993222,21.782448943780395,1.5952325444235358,NA,-3.8731249808333814,8.717391279728517,11.74468085106383,11.708235235775218,8.32102043075221,-7.518372091009867,NA,0.3,0.6652173913043479,1,1,1,1,NA,0.2106026786985615,0.8983540329966486,0.9965197547228503,1,0.9290160336925406,0.09791112818640728,NA,1,0.9565217391304348,1,1,1,1,NA,1,145,168,215,232,281,NA
watertown_sd,1992-05-24,44.9096,-97.1539,soybean,1,2,4,1992,B_80,1602.3527736785252,0.6715972235219346,2.9956521780594536,5.827446881760943,0.9082353044958675,1.8973469387511817,0.7448837285818056,NA,13.98687873284022,21.85293732518735,19.819272213793816,21.380486207849838,15.043990251969317,5.969682391299758,NA,7.806666660614105,22.134347791257113,22.422553163893678,24.477646995993222,21.782448943780395,1.5952325444235358,NA,-3.8731249808333814,8.717391279728517,11.74468085106383,11.708235235775218,8.32102043075221,-7.518372091009867,NA,0.3,0.6652173913043479,1,1,1,1,NA,0.2106026786985615,0.8983540329966486,0.9965197547228503,1,0.9290160336925406,0.09791112818640728,NA,1,0.9565217391304348,1,1,1,1,NA,1,145,168,215,232,281,NA
casselton_nd,1992-05-20,46.8973,-97.2124,soybean,0,1,5,1992,B_80,5451.229599936851,0.6579285706792559,2.1675000290075936,5.198444427053134,2.38555547926161,3.0845833917458854,0.06391304472218388,0.7742647107909707,12.728030037879943,22.32486391067505,19.882039493984646,21.38528495364719,14.720198313395182,9.460720829341723,4.143382296842687,6.321571441593447,23.038333415985107,23.11155565049913,26.02999973297119,22.230833450953167,14.574347703353219,-2.6738235304022537,-5.323000005353242,7.94500003180777,11.343777826097277,11.584444363911947,7.888333381308864,-0.010869559062563835,-10.482867673915976,0.3,0.6791666666666666,1,1,1,1,0.3,0.19996428672148256,0.856175598616357,0.9863809525020539,1,0.9262425593499627,0.4938819918735242,0.0272478986562801,1,1,1,1,1,1,1,1,141,165,210,228,276,299
watertown_sd,1993-05-25,44.9096,-97.1539,soybean,0,2,6,1993,B_80,1475.2740182516932,1.2333333359824288,4.860769216830914,4.941666651339758,2.8842858331544057,1.4214285685091603,0.2995454560626637,0.9901470726027208,14.204361559616196,19.01150230260996,20.41154500416347,20.326527459280832,15.984932140428192,10.84749960899353,5.636175476452884,3.10090280075868,20.006153730245735,24.515238216945104,25.111428669520787,21.042449153199488,16.061363653703168,-0.1705882348503698,-7.92215275093137,9.342692292653597,13.817619028545561,13.6664286340986,8.831836750312727,1.3609090359373526,-9.72014701015809,0.3,0.65,1,1,1,1,0.3,0.20285466437630859,0.9287362704565236,1,1,0.8615233276484658,0.5339935085941832,0.011696428436191142,1,1,1,1,1,1,1,1,145,171,213,227,276,298
watertown_sd,1993-05-25,44.9096,-97.1539,soybean,1,2,7,1993,B_80,1475.2740182516932,1.2333333359824288,4.860769216830914,4.941666651339758,2.8842858331544057,1.4214285685091603,0.2995454560626637,0.9901470726027208,14.204361559616196,19.01150230260996,20.41154500416347,20.326527459280832,15.984932140428192,10.84749960899353,5.636175476452884,3.10090280075868,20.006153730245735,24.515238216945104,25.111428669520787,21.042449153199488,16.061363653703168,-0.1705882348503698,-7.92215275093137,9.342692292653597,13.817619028545561,13.6664286340986,8.831836750312727,1.3609090359373526,-9.72014701015809,0.3,0.65,1,1,1,1,0.3,0.20285466437630859,0.9287362704565236,1,1,0.8615233276484658,0.5339935085941832,0.011696428436191142,1,1,1,1,1,1,1,1,145,171,213,227,276,298
casselton_nd,1993-05-21,46.8973,-97.2124,soybean,0,1,8,1993,B_80,4889.617075018391,0.5754285799605506,5.296153827355458,7.187907027643781,0.8059999863306682,0.7677777820163303,0.18478260610414587,0.8326027348433456,13.85171549149922,19.348751068115234,19.10160721180051,20.834748713175458,16.300583945380318,11.171065143916918,5.105765421096593,2.8587856994143555,20.92923061664288,23.2297675110573,26.696666717529297,22.94111107720269,15.848695713540781,0.5783561592640942,-9.400214293532606,7.9642307208134575,12.674186096634976,14.287333297729493,8.8777778075801,-0.5782608759144079,-10.176301364365914,0.3,0.65,1,1,1,1,0.3,0.1916989802858051,0.9580906691787007,1,1,0.9273730146743002,0.4622981358111275,0.05112524601811299,1,1,1,1,1,1,1,1,141,167,210,225,270,293
watertown_sd,1994-05-25,44.9096,-97.1539,soybean,0,2,9,1994,B_80,2066.6297718077517,1.1413194470935397,2.5985000163316725,5.322631537130005,0,4.072631541051362,0.728333314259847,0.8161855757850962,14.354613105456034,22.228461360931394,19.97135272778963,22.688684582710266,16.347797469088906,14.261686007181805,7.021299786174421,3.1477777392396495,24.336499881744384,25.84815778230366,26.3006249666214,24.073420926144248,22.573333342870075,7.101340160733953,-8.434791597938682,11.000000023841858,14.644736817008571,13.528125077486038,12.712368387924997,9.800833463668823,-3.116185582598153,0.3,0.6849999999999999,1,1,1,1,0.3,0.22390128946022336,1,1,1,0.9773684220206469,0.9329166681993575,0.24503313569662014,1,1,1,1,1,1,1,1,145,165,203,219,257,269
watertown_sd,1994-05-25,44.9096,-97.1539,soybean,1,2,10,1994,B_80,2066.6297718077517,1.1413194470935397,2.5985000163316725,5.322631537130005,0,4.072631541051362,0.728333314259847,0.8161855757850962,14.354613105456034,22.228461360931394,19.97135272778963,22.688684582710266,16.347797469088906,14.261686007181805,7.021299786174421,3.1477777392396495,24.336499881744384,25.84815778230366,26.3006249666214,24.073420926144248,22.573333342870075,7.101340160733953,-8.434791597938682,11.000000023841858,14.644736817008571,13.528125077486038,12.712368387924997,9.800833463668823,-3.116185582598153,0.3,0.6849999999999999,1,1,1,1,0.3,0.22390128946022336,1,1,1,0.9773684220206469,0.9329166681993575,0.24503313569662014,1,1,1,1,1,1,1,1,145,165,203,219,257,269
