Site,Longitude,Latitude,Planting,Genetics,Year
ARH1_2016,-90.7603555,34.72952,2016-04-07,72.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,84.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.25,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,71,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,70.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,78.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,90.25,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,100,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,89,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,77.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,96.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,84.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,69,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,84,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,100.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,69,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,71,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,116.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,84,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,88,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,116.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,104,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,104,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,100.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,72.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,70.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,100,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,88,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,78.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,90.25,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,93.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.25,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,100,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,89,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,100,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,77.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,82,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,96.5,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,91.75,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2016,-90.7603555,34.72952,2016-04-07,80,2016
ARH1_2017,-90.76032575,34.7272515,2017-04-17,84,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,104,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,80,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,88,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.75,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,100,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,84.75,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.25,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,80,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,80,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,70.5,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.75,2017
ARH1_2017,-90.76032575,34.7272515,2017-04-17,91.75,2017
