"","Site","Latitude","Longitude","Genetics","Planting"
"1","ames_ia",42.0215,-93.7745,2,"1989-05-28"
"2","ames_ia",42.0215,-93.7745,3,"1989-05-28"
"3","ames_ia",42.0215,-93.7745,1,"1989-05-28"
"4","ames_ia",42.0215,-93.7745,-1,"1989-05-28"
"5","ames_ia",42.0215,-93.7745,0,"1989-05-28"
"6","ames_ia",42.0215,-93.7745,4,"1989-05-28"
"7","ames_ia",42.0215,-93.7745,2,"1990-05-28"
"8","ames_ia",42.0215,-93.7745,1,"1990-05-28"
"9","ames_ia",42.0215,-93.7745,3,"1990-05-28"
"10","ames_ia",42.0215,-93.7745,2,"1991-05-28"
"11","ames_ia",42.0215,-93.7745,-1,"1991-05-28"
"12","ames_ia",42.0215,-93.7745,1,"1991-05-28"
"13","ames_ia",42.0215,-93.7745,3,"1991-05-28"
"14","ames_ia",42.0215,-93.7745,4,"1991-05-28"
"15","ames_ia",42.0215,-93.7745,2,"1992-05-27"
"16","ames_ia",42.0215,-93.7745,1,"1992-05-27"
"17","ames_ia",42.0215,-93.7745,3,"1992-05-27"
"18","ames_ia",42.0215,-93.7745,0,"1992-05-27"
"19","ames_ia",42.0215,-93.7745,-1,"1992-05-27"
"20","ames_ia",42.0215,-93.7745,4,"1992-05-27"
"21","ames_ia",42.0215,-93.7745,2,"1993-05-28"
"22","ames_ia",42.0215,-93.7745,1,"1993-05-28"
"23","ames_ia",42.0215,-93.7745,3,"1993-05-28"
"24","ames_ia",42.0215,-93.7745,-1,"1993-05-28"
"25","ames_ia",42.0215,-93.7745,0,"1993-05-28"
"26","ames_ia",42.0215,-93.7745,4,"1993-05-28"
"27","ames_ia",42.0215,-93.7745,2,"1994-05-28"
"28","ames_ia",42.0215,-93.7745,3,"1994-05-28"
"29","ames_ia",42.0215,-93.7745,1,"1994-05-28"
"30","ames_ia",42.0215,-93.7745,-1,"1994-05-28"
"31","ames_ia",42.0215,-93.7745,0,"1994-05-28"
"32","ames_ia",42.0215,-93.7745,4,"1994-05-28"
"33","ames_ia",42.0215,-93.7745,2,"1995-05-28"
"34","ames_ia",42.0215,-93.7745,1,"1995-05-28"
"35","ames_ia",42.0215,-93.7745,3,"1995-05-28"
"36","ames_ia",42.0215,-93.7745,0,"1995-05-28"
"37","ames_ia",42.0215,-93.7745,-1,"1995-05-28"
"38","ames_ia",42.0215,-93.7745,4,"1995-05-28"
"39","ames_ia",42.0215,-93.7745,2,"1996-05-27"
"40","ames_ia",42.0215,-93.7745,3,"1996-05-27"
"41","ames_ia",42.0215,-93.7745,1,"1996-05-27"
"42","ames_ia",42.0215,-93.7745,2,"1997-05-28"
"43","ames_ia",42.0215,-93.7745,3,"1997-05-28"
"44","ames_ia",42.0215,-93.7745,1,"1997-05-28"
"45","ames_ia",42.0215,-93.7745,0,"1997-05-28"
"46","ames_ia",42.0215,-93.7745,-1,"1997-05-28"
"47","ames_ia",42.0215,-93.7745,4,"1997-05-28"
"48","ames_ia",42.0215,-93.7745,2,"1998-05-28"
"49","ames_ia",42.0215,-93.7745,3,"1998-05-28"
"50","ames_ia",42.0215,-93.7745,1,"1998-05-28"
"51","ames_ia",42.0215,-93.7745,-1,"1998-05-28"
"52","ames_ia",42.0215,-93.7745,4,"1998-05-28"
"53","ames_ia",42.0215,-93.7745,1,"1999-05-28"
"54","ames_ia",42.0215,-93.7745,2,"1999-05-28"
"55","ames_ia",42.0215,-93.7745,3,"1999-05-28"
"56","ames_ia",42.0215,-93.7745,3,"2000-05-27"
"57","ames_ia",42.0215,-93.7745,1,"2000-05-27"
"58","ames_ia",42.0215,-93.7745,2,"2000-05-27"
"59","ames_ia",42.0215,-93.7745,2,"2001-05-28"
"60","ames_ia",42.0215,-93.7745,1,"2001-05-28"
"61","ames_ia",42.0215,-93.7745,3,"2001-05-28"
"62","ames_ia",42.0215,-93.7745,2,"2002-05-28"
"63","ames_ia",42.0215,-93.7745,1,"2002-05-28"
"64","ames_ia",42.0215,-93.7745,3,"2002-05-28"
"65","ames_ia",42.0215,-93.7745,2,"2003-05-28"
"66","ames_ia",42.0215,-93.7745,1,"2003-05-28"
"67","ames_ia",42.0215,-93.7745,3,"2003-05-28"
"68","ames_ia",42.0215,-93.7745,1,"2004-05-27"
"69","ames_ia",42.0215,-93.7745,3,"2004-05-27"
"70","ames_ia",42.0215,-93.7745,2,"2004-05-27"
"71","ames_ia",42.0215,-93.7745,1,"2005-05-28"
"72","ames_ia",42.0215,-93.7745,2,"2005-05-28"
"73","ames_ia",42.0215,-93.7745,3,"2005-05-28"
"74","ames_ia",42.0215,-93.7745,1,"2006-05-28"
"75","ames_ia",42.0215,-93.7745,2,"2006-05-28"
"76","ames_ia",42.0215,-93.7745,3,"2006-05-28"
"77","ames_ia",42.0215,-93.7745,2,"2007-05-28"
"78","ames_ia",42.0215,-93.7745,3,"2007-05-28"
"79","ames_ia",42.0215,-93.7745,1,"2007-05-28"
"80","ames_ia",42.0215,-93.7745,3,"2008-05-27"
"81","ames_ia",42.0215,-93.7745,2,"2008-05-27"
"82","ames_ia",42.0215,-93.7745,1,"2008-05-27"
"83","ames_ia",42.0215,-93.7745,2,"2009-05-28"
"84","ames_ia",42.0215,-93.7745,3,"2009-05-28"
"85","ames_ia",42.0215,-93.7745,1,"2009-05-28"
"86","ames_ia",42.0215,-93.7745,1,"2010-05-28"
"87","ames_ia",42.0215,-93.7745,2,"2010-05-28"
"88","ames_ia",42.0215,-93.7745,3,"2010-05-28"
"89","ames_ia",42.0215,-93.7745,2,"2012-05-27"
"90","ames_ia",42.0215,-93.7745,2,"2013-05-28"
"91","ames_ia",42.0215,-93.7745,2,"2014-05-28"
"92","ames_ia",42.0215,-93.7745,3,"2014-05-28"
"93","ames_ia",42.0215,-93.7745,1,"2014-05-28"
"94","ames_ia",42.0215,-93.7745,1,"2015-05-28"
"95","ames_ia",42.0215,-93.7745,2,"2015-05-28"
"96","ames_ia",42.0215,-93.7745,3,"2015-05-28"
"97","ames_ia",42.0215,-93.7745,1,"2016-05-27"
"98","ames_ia",42.0215,-93.7745,2,"2016-05-27"
"99","ames_ia",42.0215,-93.7745,3,"2016-05-27"
"100","ames_ia",42.0215,-93.7745,2,"2017-05-28"
"101","ames_ia",42.0215,-93.7745,1,"2019-05-28"
"102","ames_ia",42.0215,-93.7745,1,"2019-05-23"
"103","ames_ia",42.0215,-93.7745,2,"2019-05-23"
"104","ames_ia",42.0215,-93.7745,3,"2019-05-23"
"105","ames_ia",42.0215,-93.7745,1,"2018-05-25"
"106","ames_ia",42.0215,-93.7745,2,"2018-05-25"
"107","ames_ia",42.0215,-93.7745,3,"2018-05-25"
"108","ames_ia",42.0215,-93.7745,3,"2018-05-26"
"109","carbondale_il",37.7219,-89.2237,4,"1989-05-19"
"110","carbondale_il",37.7219,-89.2237,3,"2006-05-21"
"111","carbondale_il",37.7219,-89.2237,4,"2006-05-21"
"112","carbondale_il",37.7219,-89.2237,3,"2007-05-21"
"113","carbondale_il",37.7219,-89.2237,4,"2007-05-21"
"114","carbondale_il",37.7219,-89.2237,4,"2014-05-21"
"115","carbondale_il",37.7219,-89.2237,4,"2015-05-21"
"116","dundalk_ont",44.17,-80.38,-1,"2003-05-27"
"117","dundalk_ont",44.17,-80.38,-1,"2004-05-26"
"118","dundalk_ont",44.17,-80.38,-1,"2005-05-27"
"119","dundalk_ont",44.17,-80.38,-1,"2007-05-27"
"120","dundalk_ont",44.17,-80.38,-1,"2008-05-26"
"121","dundalk_ont",44.17,-80.38,-1,"2009-05-27"
"122","dundalk_ont",44.17,-80.38,-1,"2010-05-27"
"123","dundalk_ont",44.17,-80.38,-1,"2011-05-27"
"124","lubbock_tx",33.5665,-101.8867,4,"1989-04-25"
"125","lubbock_tx",33.5665,-101.8867,3,"1989-04-25"
"126","lubbock_tx",33.5665,-101.8867,4,"1991-04-25"
"127","lubbock_tx",33.5665,-101.8867,4,"1992-04-24"
"128","lubbock_tx",33.5665,-101.8867,3,"1992-04-24"
"129","lubbock_tx",33.5665,-101.8867,3,"1993-04-25"
"130","lubbock_tx",33.5665,-101.8867,4,"1993-04-25"
"131","morden_man",49.18,-98.1,-1,"1999-05-17"
"132","morden_man",49.18,-98.1,-1,"2000-05-16"
"133","morden_man",49.18,-98.1,-1,"2001-05-17"
