"","Site","Planting","Latitude","Longitude","Crop","Genetics"
"1","adelphia_nj","05/24/1989",40.2182,-74.2563,"soybean",2
"2","adelphia_nj","05/24/1989",40.2182,-74.2563,"soybean",3
"3","adelphia_nj","05/24/1989",40.2182,-74.2563,"soybean",4
"4","ames_ia","05/26/1989",42.0262,-93.6275,"soybean",2
"5","ames_ia","05/26/1989",42.0262,-93.6275,"soybean",3
"6","ames_ia","05/26/1989",42.0262,-93.6275,"soybean",1
"7","arlington_wi","05/26/1989",43.3352,-89.3724,"soybean",2
"8","arlington_wi","05/26/1989",43.3352,-89.3724,"soybean",1
"9","arlington_wi","05/26/1989",43.3352,-89.3724,"soybean",0
"10","bluffton_in","05/25/1989",40.7426,-85.173,"soybean",2
"11","bluffton_in","05/25/1989",40.7426,-85.173,"soybean",3
"12","britton_mi","05/26/1989",41.9876,-83.8305,"soybean",2
"13","britton_mi","05/26/1989",41.9876,-83.8305,"soybean",1
"14","brookings_sd","05/26/1989",44.3027,-96.7856,"soybean",1
"15","brookings_sd","05/26/1989",44.3027,-96.7856,"soybean",2
"16","brookings_sd","05/26/1989",44.3027,-96.7856,"soybean",0
"17","centerville_sd","05/26/1989",43.1165,-96.9596,"soybean",2
"18","concord_ne","05/26/1989",42.3838,-96.989,"soybean",2
"19","concord_ne","05/26/1989",42.3838,-96.989,"soybean",1
"20","dekalb_il","05/26/1989",41.9299,-88.7478,"soybean",2
"21","gibsoncity_il","05/25/1989",40.4665,-88.379,"soybean",2
"22","halbur_ia","05/26/1989",42.0051,-94.972,"soybean",2
"23","hoytville_oh","05/26/1989",41.19,-83.7844,"soybean",2
"24","hoytville_oh","05/26/1989",41.19,-83.7844,"soybean",3
"25","westlafayette_in","05/24/1989",40.399,-86.8592,"soybean",2
"26","westlafayette_in","05/24/1989",40.399,-86.8592,"soybean",3
"27","westlafayette_in","05/24/1989",40.399,-86.8592,"soybean",4
"28","westlafayette_in","05/24/1989",40.399,-86.8592,"soybean",1
"29","lamberton_mn","05/26/1989",44.2306,-95.2676,"soybean",1
"30","lamberton_mn","05/26/1989",44.2306,-95.2676,"soybean",2
"31","madison_ne","05/26/1989",41.8286,-97.4567,"soybean",2
"32","mead_ne","05/26/1989",41.2135,-96.4824,"soybean",2
"33","mead_ne","05/26/1989",41.2135,-96.4824,"soybean",1
"34","saginaw_mi","05/26/1989",43.4199,-83.95,"soybean",1
"35","saginaw_mi","05/26/1989",43.4199,-83.95,"soybean",2
"36","statecollege_pa","05/25/1989",40.791,-77.8568,"soybean",2
"37","statecollege_pa","05/25/1989",40.791,-77.8568,"soybean",1
"38","urbana_il","05/24/1989",40.1106,-88.1972,"soybean",2
"39","urbana_il","05/24/1989",40.1106,-88.1972,"soybean",3
"40","urbana_il","05/24/1989",40.1106,-88.1972,"soybean",4
"41","waseca_mn","05/26/1989",44.0826,-93.5026,"soybean",1
"42","waseca_mn","05/26/1989",44.0826,-93.5026,"soybean",2
"43","wooster_oh","05/25/1989",40.8166,-81.9337,"soybean",3
"44","wooster_oh","05/25/1989",40.8166,-81.9337,"soybean",2
"45","columbia_mo","05/22/1989",38.9475,-92.3263,"soybean",3
"46","columbia_mo","05/22/1989",38.9475,-92.3263,"soybean",4
"47","elkpoint_sd","05/26/1989",42.6816,-96.68,"soybean",3
"48","landisville_pa","05/24/1989",40.0901,-76.4064,"soybean",3
"49","landisville_pa","05/24/1989",40.0901,-76.4064,"soybean",4
"50","lexington_ky","05/19/1989",38.0423,-84.4587,"soybean",4
"51","lexington_ky","05/19/1989",38.0423,-84.4587,"soybean",3
"52","lexington_ne","05/25/1989",40.778,-99.7462,"soybean",3
"53","lincoln_ne","05/25/1989",40.8102,-96.6808,"soybean",3
"54","manhattan_ks","05/22/1989",39.1883,-96.605,"soybean",3
"55","manhattan_ks","05/22/1989",39.1883,-96.605,"soybean",4
"56","mountorab_oh","05/22/1989",39.0295,-83.9268,"soybean",4
"57","mountorab_oh","05/22/1989",39.0295,-83.9268,"soybean",3
"58","oak_ne","05/24/1989",40.2382,-97.9036,"soybean",3
"59","powhattan_ks","05/23/1989",39.7616,-95.634,"soybean",3
"60","powhattan_ks","05/23/1989",39.7616,-95.634,"soybean",4
"61","queenstown_md","05/22/1989",38.9863,-76.1693,"soybean",4
"62","queenstown_md","05/22/1989",38.9863,-76.1693,"soybean",3
"63","ridgway_il","05/19/1989",37.7978,-88.2603,"soybean",3
"64","ridgway_il","05/19/1989",37.7978,-88.2603,"soybean",4
"65","southcharleston_oh","05/24/1989",39.8249,-83.6415,"soybean",3
"66","southcharleston_oh","05/24/1989",39.8249,-83.6415,"soybean",4
"67","tingley_ia","05/25/1989",40.8527,-94.1958,"soybean",3
"68","topeka_ks","05/22/1989",39.0347,-95.6955,"soybean",3
"69","topeka_ks","05/22/1989",39.0347,-95.6955,"soybean",4
"70","winterset_ia","05/26/1989",41.3456,-94.0136,"soybean",3
"71","corwith_ia","05/26/1989",42.989,-93.9581,"soybean",1
"72","nashua_ia","05/26/1989",42.9501,-92.5417,"soybean",1
"73","royal_ia","05/26/1989",43.0644,-95.2837,"soybean",1
"74","wilmot_sd","05/24/1989",45.4091,-96.8545,"soybean",0
"75","wilmot_sd","05/24/1989",45.4091,-96.8545,"soybean",1
"76","marshalltown_ia","05/26/1989",42.0341,-92.9067,"soybean",2
"77","fairfield_ia","05/25/1989",41.0071,-91.9673,"soybean",3
"78","belleville_il","05/21/1989",38.515,-89.9865,"soybean",4
"79","carbondale_il","05/18/1989",37.7219,-89.2237,"soybean",4
"80","lubbock_tx","05/03/1989",33.5665,-101.8867,"soybean",4
"81","orange_va","05/20/1989",38.2484,-78.1125,"soybean",4
"82","portagevilleloam_mo","05/14/1989",36.4295,-89.6994,"soybean",4
"83","portagevilleloam_mo","05/14/1989",36.4295,-89.6994,"soybean",0
"84","portagevilleloam_mo","05/14/1989",36.4295,-89.6994,"soybean",0
"85","portagevilleloam_mo","05/14/1989",36.4295,-89.6994,"soybean",1
"86","portagevilleloam_mo","05/14/1989",36.4295,-89.6994,"soybean",3
"87","portagevilleloam_mo","05/14/1989",36.4295,-89.6994,"soybean",2
"88","vincennes_in","05/21/1989",38.6759,-87.5102,"soybean",4
"89","vincennes_in","05/21/1989",38.6759,-87.5102,"soybean",3
"90","portageville_mo","05/14/1989",36.4295,-89.6994,"soybean",4
"91","portageville_mo","05/14/1989",36.4295,-89.6994,"soybean",0
"92","portageville_mo","05/14/1989",36.4295,-89.6994,"soybean",0
"93","portageville_mo","05/14/1989",36.4295,-89.6994,"soybean",1
"94","casselton_nd","05/21/1989",46.8973,-97.2124,"soybean",0
"95","casselton_nd","05/21/1989",46.8973,-97.2124,"soybean",0
"96","crookston_mn","05/18/1989",47.7747,-96.6062,"soybean",0
"97","crookston_mn","05/18/1989",47.7747,-96.6062,"soybean",0
"98","moorhead_mn","05/21/1989",46.8674,-96.7457,"soybean",0
"99","moorhead_mn","05/21/1989",46.8674,-96.7457,"soybean",0
"100","shelly_mn","05/19/1989",47.4584,-96.8196,"soybean",0
"101","shelly_mn","05/19/1989",47.4584,-96.8196,"soybean",0
"102","spooner_wi","05/24/1989",45.827,-91.886,"soybean",0
"103","spooner_wi","05/24/1989",45.827,-91.886,"soybean",0
"104","badaxe_mi","05/26/1989",43.804,-82.9984,"soybean",0
"105","morris_mn","05/24/1989",45.5861,-95.9046,"soybean",0
"106","rosemount_mn","05/25/1989",44.7466,-93.0662,"soybean",0
"107","adelphia_nj","05/24/1990",40.2182,-74.2563,"soybean",2
"108","adelphia_nj","05/24/1990",40.2182,-74.2563,"soybean",3
"109","adelphia_nj","05/24/1990",40.2182,-74.2563,"soybean",4
"110","ames_ia","05/26/1990",42.0262,-93.6275,"soybean",2
"111","ames_ia","05/26/1990",42.0262,-93.6275,"soybean",3
"112","ames_ia","05/26/1990",42.0262,-93.6275,"soybean",1
"113","arlington_wi","05/26/1990",43.3352,-89.3724,"soybean",2
"114","arlington_wi","05/26/1990",43.3352,-89.3724,"soybean",1
"115","arlington_wi","05/26/1990",43.3352,-89.3724,"soybean",0
"116","centerville_sd","05/26/1990",43.1165,-96.9596,"soybean",2
"117","concord_ne","05/26/1990",42.3838,-96.989,"soybean",2
"118","concord_ne","05/26/1990",42.3838,-96.989,"soybean",1
"119","eastlansing_mi","05/26/1990",42.7483,-84.4834,"soybean",2
"120","eastlansing_mi","05/26/1990",42.7483,-84.4834,"soybean",1
"121","hoytville_oh","05/26/1990",41.19,-83.7844,"soybean",2
"122","hoytville_oh","05/26/1990",41.19,-83.7844,"soybean",3
"123","westlafayette_in","05/25/1990",40.399,-86.8592,"soybean",2
"124","westlafayette_in","05/25/1990",40.399,-86.8592,"soybean",3
"125","westlafayette_in","05/25/1990",40.399,-86.8592,"soybean",4
"126","westlafayette_in","05/25/1990",40.399,-86.8592,"soybean",1
"127","marshalltown_ia","05/26/1990",42.0341,-92.9067,"soybean",2
"128","oneill_ne","05/26/1990",42.461,-98.6465,"soybean",2
"129","urbana_il","05/24/1990",40.1106,-88.1972,"soybean",2
"130","urbana_il","05/24/1990",40.1106,-88.1972,"soybean",3
"131","urbana_il","05/24/1990",40.1106,-88.1972,"soybean",4
"132","brookings_sd","05/26/1990",44.3027,-96.7856,"soybean",1
"133","brookings_sd","05/26/1990",44.3027,-96.7856,"soybean",2
"134","brookings_sd","05/26/1990",44.3027,-96.7856,"soybean",0
"135","kanawha_ia","05/26/1990",42.9342,-93.7933,"soybean",1
"136","lamberton_mn","05/26/1990",44.2306,-95.2676,"soybean",1
"137","lamberton_mn","05/26/1990",44.2306,-95.2676,"soybean",2
"138","royal_ia","05/26/1990",43.0644,-95.2837,"soybean",1
"139","waseca_mn","05/26/1990",44.0826,-93.5026,"soybean",1
"140","waseca_mn","05/26/1990",44.0826,-93.5026,"soybean",2
"141","columbia_mo","05/22/1990",38.9475,-92.3263,"soybean",3
"142","columbia_mo","05/22/1990",38.9475,-92.3263,"soybean",4
"143","fairfield_ia","05/25/1990",41.0071,-91.9673,"soybean",3
"144","fallscity_ne","05/24/1990",40.0623,-95.599,"soybean",3
"145","fallscity_ne","05/24/1990",40.0623,-95.599,"soybean",4
"146","manhattan_ks","05/22/1990",39.1883,-96.605,"soybean",3
"147","manhattan_ks","05/22/1990",39.1883,-96.605,"soybean",4
"148","southcharleston_oh","05/24/1990",39.8249,-83.6415,"soybean",3
"149","southcharleston_oh","05/24/1990",39.8249,-83.6415,"soybean",4
"150","tekamah_ne","05/26/1990",41.7779,-96.2248,"soybean",3
"151","tekamah_ne","05/26/1990",41.7779,-96.2248,"soybean",2
"152","winterset_ia","05/26/1990",41.3456,-94.0136,"soybean",3
"153","holbrook_ne","05/24/1990",40.3047,-100.0099,"soybean",3
"154","belleville_il","05/21/1990",38.515,-89.9865,"soybean",4
"155","lexington_ky","05/19/1990",38.0423,-84.4587,"soybean",4
"156","lexington_ky","05/19/1990",38.0423,-84.4587,"soybean",3
"157","mountorab_oh","05/22/1990",39.0295,-83.9268,"soybean",4
"158","mountorab_oh","05/22/1990",39.0295,-83.9268,"soybean",3
"159","queenstown_md","05/22/1990",38.9863,-76.1693,"soybean",4
"160","queenstown_md","05/22/1990",38.9863,-76.1693,"soybean",3
"161","vincennes_in","05/21/1990",38.6759,-87.5102,"soybean",4
"162","vincennes_in","05/21/1990",38.6759,-87.5102,"soybean",3
"163","portageville_mo","05/14/1990",36.4295,-89.6994,"soybean",4
"164","portageville_mo","05/14/1990",36.4295,-89.6994,"soybean",0
"165","portageville_mo","05/14/1990",36.4295,-89.6994,"soybean",0
"166","portageville_mo","05/14/1990",36.4295,-89.6994,"soybean",1
"167","adelphia_nj","05/24/1991",40.2182,-74.2563,"soybean",2
"168","adelphia_nj","05/24/1991",40.2182,-74.2563,"soybean",3
"169","adelphia_nj","05/24/1991",40.2182,-74.2563,"soybean",4
"170","ames_ia","05/26/1991",42.0262,-93.6275,"soybean",2
"171","ames_ia","05/26/1991",42.0262,-93.6275,"soybean",3
"172","ames_ia","05/26/1991",42.0262,-93.6275,"soybean",1
"173","arcadia_ia","05/26/1991",42.0862,-95.0432,"soybean",2
"174","arlington_wi","05/26/1991",43.3352,-89.3724,"soybean",2
"175","arlington_wi","05/26/1991",43.3352,-89.3724,"soybean",1
"176","arlington_wi","05/26/1991",43.3352,-89.3724,"soybean",0
"177","bluffton_in","05/25/1991",40.7426,-85.173,"soybean",2
"178","bluffton_in","05/25/1991",40.7426,-85.173,"soybean",3
"179","brookings_sd","05/26/1991",44.3027,-96.7856,"soybean",1
"180","brookings_sd","05/26/1991",44.3027,-96.7856,"soybean",2
"181","brookings_sd","05/26/1991",44.3027,-96.7856,"soybean",0
"182","centerville_sd","05/26/1991",43.1165,-96.9596,"soybean",2
"183","davidcity_ne","05/26/1991",41.2601,-97.1295,"soybean",2
"184","davidcity_ne","05/26/1991",41.2601,-97.1295,"soybean",3
"185","davidcity_ne","05/26/1991",41.2601,-97.1295,"soybean",1
"186","dekalb_il","05/26/1991",41.9299,-88.7478,"soybean",2
"187","gibsoncity_il","05/25/1991",40.4665,-88.379,"soybean",2
"188","hoytville_oh","05/26/1991",41.19,-83.7844,"soybean",2
"189","hoytville_oh","05/26/1991",41.19,-83.7844,"soybean",3
"190","inghamcounty_mi","05/26/1991",42.6469,-84.3542,"soybean",2
"191","inghamcounty_mi","05/26/1991",42.6469,-84.3542,"soybean",1
"192","westlafayette_in","05/25/1991",40.399,-86.8592,"soybean",2
"193","westlafayette_in","05/25/1991",40.399,-86.8592,"soybean",3
"194","westlafayette_in","05/25/1991",40.399,-86.8592,"soybean",4
"195","westlafayette_in","05/25/1991",40.399,-86.8592,"soybean",1
"196","lamberton_mn","05/26/1991",44.2306,-95.2676,"soybean",1
"197","lamberton_mn","05/26/1991",44.2306,-95.2676,"soybean",2
"198","marshalltown_ia","05/26/1991",42.0341,-92.9067,"soybean",2
"199","oconto_ne","05/25/1991",41.1417,-99.7619,"soybean",2
"200","oconto_ne","05/25/1991",41.1417,-99.7619,"soybean",1
"201","oneill_ne","05/26/1991",42.461,-98.6465,"soybean",2
"202","spickard_mo","05/24/1991",40.2432,-93.5923,"soybean",2
"203","urbana_il","05/24/1991",40.1106,-88.1972,"soybean",2
"204","urbana_il","05/24/1991",40.1106,-88.1972,"soybean",3
"205","urbana_il","05/24/1991",40.1106,-88.1972,"soybean",4
"206","waseca_mn","05/26/1991",44.0826,-93.5026,"soybean",1
"207","waseca_mn","05/26/1991",44.0826,-93.5026,"soybean",2
"208","wooster_oh","05/25/1991",40.8166,-81.9337,"soybean",3
"209","wooster_oh","05/25/1991",40.8166,-81.9337,"soybean",2
"210","greene_ia","05/26/1991",42.8969,-92.8043,"soybean",1
"211","humboldt_ia","05/26/1991",42.7232,-94.2245,"soybean",1
"212","royal_ia","05/26/1991",43.0644,-95.2837,"soybean",1
"213","saginaw_mi","05/26/1991",43.4199,-83.95,"soybean",1
"214","saginaw_mi","05/26/1991",43.4199,-83.95,"soybean",2
"215","wilmot_sd","05/24/1991",45.4091,-96.8545,"soybean",0
"216","wilmot_sd","05/24/1991",45.4091,-96.8545,"soybean",1
"217","columbia_mo","05/22/1991",38.9475,-92.3263,"soybean",3
"218","columbia_mo","05/22/1991",38.9475,-92.3263,"soybean",4
"219","elkpoint_sd","05/26/1991",42.6816,-96.68,"soybean",3
"220","fairfield_ia","05/25/1991",41.0071,-91.9673,"soybean",3
"221","georgetown_de","05/21/1991",38.6899,-75.3872,"soybean",3
"222","georgetown_de","05/21/1991",38.6899,-75.3872,"soybean",4
